"State","Abbreviation","CensusRegion","LargerRegion"
"alabama","AL","East South Central","South"
"alaska","AK","Alaska","Alaska"
"arizona","AZ","Mountain","West"
"arkansas","AR","West South Central","South"
"california","CA","Pacific","West"
"colorado","CO","Mountain","West"
"connecticut","CT","New England","Northeast"
"delaware","DE","New England","Northeast"
"florida","FL","South Atlantic","South"
"georgia","GA","South Atlantic","South"
"guam","GU","Guam","Guam"
"hawaii","HI","Hawaii","Hawaii"
"idaho","ID","Mountain","West"
"illinois","IL","East North Central","Midwest"
"indiana","IN","East North Central","Midwest"
"iowa","IA","West North Central","Midwest"
"kansas","KS","West North Central","Midwest"
"kentucky","KY","East South Central","South"
"louisiana","LA","West South Central","South"
"maine","ME","New England","Northeast"
"maryland","MD","South Atlantic","South"
"massachusetts","MA","New England","Northeast"
"michigan","MI","East North Central","Midwest"
"minnesota","MN","West North Central","Midwest"
"mississippi","MS","South Atlantic","South"
"missouri","MO","West North Central","Midwest"
"montana","MT","Mountain","West"
"nebraska","NE","West North Central","Midwest"
"nevada","NV","Mountain","West"
"new hampshire","NH","New England","Northeast"
"new jersey","NJ","Middle Atlantic","Northeast"
"new mexico","NM","Mountain","West"
"new york","NY","Middle Atlantic","Northeast"
"north carolina","NC","South Atlantic","South"
"north dakota","ND","West North Central","Midwest"
"ohio","OH","East North Central","Midwest"
"oklahoma","OK","West South Central","South"
"oregon","OR","Pacific","West"
"pennsylvania","PA","Middle Atlantic","Northeast"
"puerto rico","PR","Puerto Rico","Puerto Rico"
"rhode island","RI","New England","Northeast"
"south carolina","SC","South Atlantic","South"
"south dakota","SD","West North Central","Midwest"
"tennessee","TN","East South Central","South"
"texas","TX","West South Central","South"
"utah","UT","Mountain","West"
"vermont","VT","New England","Northeast"
"virgin islands","VI","Virgin Islands","Virgin Islands"
"virginia","VA","South Atlantic","South"
"washington","WA","Pacific","West"
"west virginia","WV","South Atlantic","South"
"wisconsin","WI","East North Central","Midwest"
"wyoming","WY","Mountain","West"
